Nombre,Goles,Posición,Equipo,Año
K. Benzema,27,DEL,Real Madrid,2022
Iago Aspas,17,DEL,Celta,2022
Raúl De Tomás,17,DEL,Espanyol,2022
Vinicius Jr.,17,DEL,Real Madrid,2022
Juanmi,16,DEL,Real Betis,2022
E. Ünal,16,DEL,Getafe,2022
Joselu,14,DEL,Deportivo Alavés,2022
Morales,13,DEL,Levante,2022
Memphis,12,DEL,Barcelona,2022
Á. Correa,12,DEL,Atlético,2022
L. Suárez,11,DEL,Atlético,2022
P. Aubameyang,11,DEL,Barcelona,2022
G. Guedes,11,DEL,Valencia,2022
C. Soler,11,MED,Valencia,2022
Jorge Molina,10,DEL,Granada,2022
Borja Iglesias,10,DEL,Real Betis,2022
M. Asensio,10,DEL,Real Madrid,2022
Rafa Mir,10,DEL,Sevilla,2022
A. Danjuma,10,DEL,Villarreal,2022
Willian José,9,DEL,Real Betis,2022
L. Messi,30,DEL,Barcelona,2021
K. Benzema,23,DEL,Real Madrid,2021
Gerard Moreno,23,DEL,Villarreal,2021
L. Suárez,21,DEL,Atlético,2021
Y. En-Nesyri,18,DEL,Sevilla,2021
A. Isak,16,DEL,R. Sociedad,2021
Iago Aspas,14,DEL,Celta,2021
A. Griezmann,13,DEL,Barcelona,2021
Morales,13,DEL,Levante,2021
Rafa Mir,13,DEL,Huesca,2021
Kike García,12,DEL,Eibar,2021
Roger,12,DEL,Levante,2021
M. Llorente,12,MED,Atlético,2021
Santi Mina,12,DEL,Celta,2021
Joselu,11,DEL,Deportivo Alavés,2021
A. Budimir,11,DEL,Osasuna,2021
Borja Iglesias,11,DEL,Real Betis,2021
M. Oyarzabal,11,DEL,R. Sociedad,2021
C. Soler,11,MED,Valencia,2021
R. Soldado,9,DEL,Granada,2021
L. Messi,25,DEL,Barcelona,2020
K. Benzema,21,DEL,Real Madrid,2020
Gerard Moreno,18,DEL,Villarreal,2020
L. Suárez,16,DEL,Barcelona,2020
Raúl García,15,DEL,Athletic,2020
Iago Aspas,14,DEL,Celta,2020
L. Ocampos,14,DEL,Sevilla,2020
A. Budimir,13,DEL,Mallorca,2020
Á. Morata,12,DEL,Atlético,2020
Sergio Ramos,11,DEF,Real Madrid,2020
S. Cazorla,11,MED,Villarreal,2020
J. Mata,11,DEL,Getafe,2020
Joselu,11,DEL,Deportivo Alavés,2020
Willian José,11,DEL,R. Sociedad,2020
Roger,11,DEL,Levante,2020
Lucas Pérez,11,DEL,Deportivo Alavés,2020
Ángel,10,DEL,Getafe,2020
Loren Morón,10,DEL,Real Betis,2020
C. Fernández,10,DEL,Granada,2020
M. Oyarzabal,10,DEL,R. Sociedad,2020
L. Messi,36,DEL,Barcelona,2019
K. Benzema,21,DEL,Real Madrid,2019
L. Suárez,21,DEL,Barcelona,2019
Iago Aspas,20,DEL,Celta,2019
C. Stuani,19,DEL,Girona,2019
