Equipos,Puntos,Juegos,Ganados,Empatados,Perdidos,Goles_Favor,Goles_Contra,año
Real Madrid,86,38,26,8,4,80,31,2022
Barcelona,73,38,21,10,7,68,38,2022
Atlético,71,38,21,8,9,65,43,2022
Sevilla,70,38,18,16,4,53,30,2022
Real Betis,65,38,19,8,11,62,40,2022
R. Sociedad,62,38,17,11,10,40,37,2022
Villarreal,59,38,16,11,11,63,37,2022
Athletic,55,38,14,13,11,43,36,2022
Valencia,48,38,11,15,12,48,53,2022
Osasuna,47,38,12,11,15,37,51,2022
Celta,46,38,12,10,16,43,43,2022
Rayo Vallecano,42,38,11,9,18,39,50,2022
Elche,42,38,11,9,18,40,52,2022
Espanyol,42,38,10,12,16,40,53,2022
Getafe,39,38,8,15,15,33,41,2022
Mallorca,39,38,10,9,19,36,63,2022
Cádiz,39,38,8,15,15,35,51,2022
Granada,38,38,8,14,16,44,61,2022
Levante,35,38,8,11,19,51,76,2022
Deportivo,31,38,8,7,23,31,65,2022
Atlético,86,38,26,8,4,67,25,2021
Real Madrid,84,38,25,9,4,67,28,2021
Barcelona,79,38,24,7,7,85,38,2021
Sevilla,77,38,24,5,9,53,33,2021
R. Sociedad,62,38,17,11,10,59,38,2021
Real Betis,61,38,17,10,11,50,50,2021
Villarreal,58,38,15,13,10,60,44,2021
Celta,53,38,14,11,13,55,57,2021
Granada,46,38,13,7,18,47,65,2021
Athletic,46,38,11,13,14,46,42,2021
Osasuna,44,38,11,11,16,37,48,2021
Cádiz,44,38,11,11,16,36,58,2021
Valencia,43,38,10,13,15,50,53,2021
Levante,41,38,9,14,15,46,57,2021
Getafe,38,38,9,11,18,28,43,2021
Deportivo,38,38,9,11,18,36,57,2021
Elche,36,38,8,12,18,34,55,2021
Huesca,34,38,7,13,18,34,53,2021
Real Valladolid,31,38,5,16,17,34,57,2021
Eibar,30,38,6,12,20,29,52,2021
Real Madrid,87,38,26,9,3,70,25,2020
Barcelona,82,38,25,7,6,86,38,2020
Atlético,70,38,18,16,4,51,27,2020
Sevilla,70,38,19,13,6,54,34,2020
Villarreal,60,38,18,6,14,63,49,2020
R. Sociedad,56,38,16,8,14,56,48,2020
Granada,56,38,16,8,14,52,45,2020
Getafe,54,38,14,12,12,43,37,2020
Valencia,53,38,14,11,13,46,53,2020
Osasuna,52,38,13,13,12,46,54,2020
Athletic,51,38,13,12,13,41,38,2020
Levante,49,38,14,7,17,47,53,2020
Real Valladolid,42,38,9,15,14,32,43,2020
Eibar,42,38,11,9,18,39,56,2020
Real Betis,41,38,10,11,17,48,60,2020
Deportivo,39,38,10,9,19,34,59,2020
Celta,37,38,7,16,15,37,49,2020
Leganés,36,38,8,12,18,30,51,2020
Mallorca,33,38,9,6,23,40,65,2020
Espanyol,25,38,5,10,23,27,58,2020
Barcelona,87,38,26,9,3,90,36,2019
Atlético,76,38,22,10,6,55,29,2019
Real Madrid,68,38,21,5,12,63,46,2019
Valencia,61,38,15,16,7,51,35,2019
Getafe,59,38,15,14,9,48,35,2019
Sevilla,59,38,17,8,13,62,47,2019
Espanyol,53,38,14,11,13,48,50,2019
Athletic,53,38,13,14,11,41,45,2019
R. Sociedad,50,38,13,11,14,45,46,2019
Real Betis,50,38,14,8,16,44,52,2019
Deportivo,50,38,13,11,14,39,50,2019
Eibar,47,38,11,14,13,46,50,2019
Leganés,45,38,11,12,15,37,43,2019
Villarreal,44,38,10,14,14,49,52,2019
Levante,44,38,11,11,16,59,66,2019
Real Valladolid,41,38,10,11,17,32,51,2019
Celta,41,38,10,11,17,53,62,2019
Girona,37,38,9,10,19,37,53,2019
