Estadio,Ciudad,Año,Aforo,Equipo
Camp Nou,Barcelona,1957,99354,F. C. Barcelona
Santiago Bernabéu Chamart�n ,Madrid,1947,99354,Real Madrid C. F.
Estadio Metropolitano  barrio de Rosas,Madrid,2017,99354,Atlético de Madrid
Benito Villamarín,Sevilla,1929,99354,Real Betis Balompié
Olímpico Lluís Companys,Barcelona,1929,99354,Desocupado
La Cartuja,Santiponce y Sevilla,1997,99354,Selección española
San Mamés,Bilbao,2013,99354,Athletic Club
Mestalla,Valencia,1923,99354,Valencia C. F.
Ramón Sánchez-Pizjuán,Sevilla,1958,99354,Sevilla FC
RCDE Stadium,Cornellà de Llobregat,2009,99354,RCD Espanyol
Reale Arena,San Sebastián,1993,99354,Real Sociedad
La Romareda,Zaragoza,1957,99354,Real Zaragoza
Abanca-Riazor,La Coruña,1944,99354,R. C. Deportivo de La Coruña
Gran Canaria,Las Palmas de Gran Canaria,2003,99354,U. D. Las Palmas
Martínez Valero,Elche,1976,99354,Elche C. F.
Estadio Enrique Roca de Murcia,Murcia,2006,99354,Real Murcia C. F.
Municipal Carlos Tartiere,Oviedo,2000,99354,Real Oviedo
La Rosaleda,Málaga,1941,99354,Málaga C. F.
"Municipal El Molinón-Enrique Castro ""Quini"",Gijón,1908,99354,Sporting de Gijón"
José Rico Pérez,Alicante,1974,99354,Hércules C. F.
