Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2022-05-22,R. Sociedad,1 - 2,Atlético,Ganó,1,2,1
2022-05-15,Atlético,1 - 1,Sevilla,Empató,1,1,0
2022-05-11,Elche,0 - 2,Atlético,Ganó,0,2,2
2022-05-08,Atlético,1 - 0,Real Madrid,Ganó,1,0,1
2022-04-30,Athletic,2 - 0,Atlético,Perdió,2,0,2
2022-04-20,Atlético,0 - 0,Granada,Empató,0,0,0
2022-04-17,Atlético,2 - 1,Espanyol,Ganó,2,1,1
2022-04-09,Mallorca,1 - 0,Atlético,Perdió,1,0,1
2022-04-02,Atlético,4 - 1,Deportivo Alavés,Ganó,4,1,3
2022-03-19,Rayo Vallecano,0 - 1,Atlético,Ganó,0,1,1
2022-03-11,Atlético,2 - 1,Cádiz,Ganó,2,1,1
2022-03-06,Real Betis,1 - 3,Atlético,Ganó,1,3,2
2022-02-26,Atlético,2 - 0,Celta,Ganó,2,0,2
2022-02-19,Osasuna,0 - 3,Atlético,Ganó,0,3,3
2022-02-16,Atlético,0 - 1,Levante,Perdió,0,1,1
2022-02-12,Atlético,4 - 3,Getafe,Ganó,4,3,1
2022-02-06,Barcelona,4 - 2,Atlético,Perdió,4,2,2
2022-01-22,Atlético,3 - 2,Valencia,Ganó,3,2,1
2022-01-09,Villarreal,2 - 2,Atlético,Empató,2,2,0
2022-01-02,Atlético,2 - 0,Rayo Vallecano,Ganó,2,0,2
2021-12-22,Granada,2 - 1,Atlético,Perdió,2,1,1
2021-12-18,Sevilla,2 - 1,Atlético,Perdió,2,1,1
2021-12-12,Real Madrid,2 - 0,Atlético,Perdió,2,0,2
2021-12-04,Atlético,1 - 2,Mallorca,Perdió,1,2,1
2021-11-28,Cádiz,1 - 4,Atlético,Ganó,1,4,3
2021-11-20,Atlético,1 - 0,Osasuna,Ganó,1,0,1
2021-11-07,Valencia,3 - 3,Atlético,Empató,3,3,0
2021-10-31,Atlético,3 - 0,Real Betis,Ganó,3,0,3
2021-10-28,Levante,2 - 2,Atlético,Empató,2,2,0
2021-10-24,Atlético,2 - 2,R. Sociedad,Empató,2,2,0
2021-10-02,Atlético,2 - 0,Barcelona,Ganó,2,0,2
2021-09-25,Deportivo Alavés,1 - 0,Atlético,Perdió,1,0,1
2021-09-21,Getafe,1 - 2,Atlético,Ganó,1,2,1
2021-09-18,Atlético,0 - 0,Athletic,Empató,0,0,0
2021-09-12,Espanyol,1 - 2,Atlético,Ganó,1,2,1
2021-08-29,Atlético,2 - 2,Villarreal,Empató,2,2,0
2021-08-22,Atlético,1 - 0,Elche,Ganó,1,0,1
2021-08-15,Celta,1 - 2,Atlético,Ganó,1,2,1
2021-05-22,Real Valladolid,1 - 2,Atlético,Ganó,1,2,1
2021-05-16,Atlético,2 - 1,Osasuna,Ganó,2,1,1
2021-05-12,Atlético,2 - 1,R. Sociedad,Ganó,2,1,1
2021-05-08,Barcelona,0 - 0,Atlético,Empató,0,0,0
2021-05-01,Elche,0 - 1,Atlético,Ganó,0,1,1
2021-04-25,Athletic,2 - 1,Atlético,Perdió,2,1,1
2021-04-22,Atlético,2 - 0,Huesca,Ganó,2,0,2
2021-04-18,Atlético,5 - 0,Eibar,Ganó,5,0,5
2021-04-11,Real Betis,1 - 1,Atlético,Empató,1,1,0
2021-04-04,Sevilla,1 - 0,Atlético,Perdió,1,0,1
2021-03-21,Atlético,1 - 0,Deportivo Alavés,Ganó,1,0,1
2021-03-13,Getafe,0 - 0,Atlético,Empató,0,0,0
2021-03-10,Atlético,2 - 1,Athletic,Ganó,2,1,1
2021-03-07,Atlético,1 - 1,Real Madrid,Empató,1,1,0
2021-02-28,Villarreal,0 - 2,Atlético,Ganó,0,2,2
2021-02-20,Atlético,0 - 2,Levante,Perdió,0,2,2
2021-02-17,Levante,1 - 1,Atlético,Empató,1,1,0
2021-02-13,Granada,1 - 2,Atlético,Ganó,1,2,1
2021-02-08,Atlético,2 - 2,Celta,Empató,2,2,0
2021-01-31,Cádiz,2 - 4,Atlético,Ganó,2,4,2
2021-01-24,Atlético,3 - 1,Valencia,Ganó,3,1,2
2021-01-21,Eibar,1 - 2,Atlético,Ganó,1,2,1
2021-01-12,Atlético,2 - 0,Sevilla,Ganó,2,0,2
2021-01-03,Deportivo Alavés,1 - 2,Atlético,Ganó,1,2,1
2020-12-30,Atlético,1 - 0,Getafe,Ganó,1,0,1
2020-12-22,R. Sociedad,0 - 2,Atlético,Ganó,0,2,2
2020-12-19,Atlético,3 - 1,Elche,Ganó,3,1,2
2020-12-12,Real Madrid,2 - 0,Atlético,Perdió,2,0,2
2020-12-05,Atlético,2 - 0,Real Valladolid,Ganó,2,0,2
2020-11-28,Valencia,0 - 1,Atlético,Ganó,0,1,1
2020-11-21,Atlético,1 - 0,Barcelona,Ganó,1,0,1
2020-11-07,Atlético,4 - 0,Cádiz,Ganó,4,0,4
2020-10-31,Osasuna,1 - 3,Atlético,Ganó,1,3,2
2020-10-24,Atlético,2 - 0,Real Betis,Ganó,2,0,2
2020-10-17,Celta,0 - 2,Atlético,Ganó,0,2,2
2020-10-03,Atlético,0 - 0,Villarreal,Empató,0,0,0
2020-09-30,Huesca,0 - 0,Atlético,Empató,0,0,0
2020-09-27,Atlético,6 - 1,Granada,Ganó,6,1,5
2020-07-19,Atlético,1 - 1,R. Sociedad,Empató,1,1,0
2020-07-16,Getafe,0 - 2,Atlético,Ganó,0,2,2
2020-07-11,Atlético,1 - 0,Real Betis,Ganó,1,0,1
2020-07-07,Celta,1 - 1,Atlético,Empató,1,1,0
2020-07-03,Atlético,3 - 0,Mallorca,Ganó,3,0,3
2020-06-30,Barcelona,2 - 2,Atlético,Empató,2,2,0
2020-06-27,Atlético,2 - 1,Deportivo Alavés,Ganó,2,1,1
2020-06-23,Levante,0 - 1,Atlético,Ganó,0,1,1
2020-06-20,Atlético,1 - 0,Real Valladolid,Ganó,1,0,1
2020-06-17,Osasuna,0 - 5,Atlético,Ganó,0,5,5
2020-06-14,Athletic,1 - 1,Atlético,Empató,1,1,0
2020-03-07,Atlético,2 - 2,Sevilla,Empató,2,2,0
2020-03-01,Espanyol,1 - 1,Atlético,Empató,1,1,0
2020-02-23,Atlético,3 - 1,Villarreal,Ganó,3,1,2
2020-02-14,Valencia,2 - 2,Atlético,Empató,2,2,0
2020-02-08,Atlético,1 - 0,Granada,Ganó,1,0,1
2020-02-01,Real Madrid,1 - 0,Atlético,Perdió,1,0,1
2020-01-26,Atlético,0 - 0,Leganés,Empató,0,0,0
2020-01-18,Eibar,2 - 0,Atlético,Perdió,2,0,2
2020-01-04,Atlético,2 - 1,Levante,Ganó,2,1,1
2019-12-22,Real Betis,1 - 2,Atlético,Ganó,1,2,1
2019-12-14,Atlético,2 - 0,Osasuna,Ganó,2,0,2
2019-12-06,Villarreal,0 - 0,Atlético,Empató,0,0,0
2019-12-01,Atlético,0 - 1,Barcelona,Perdió,0,1,1
2019-11-23,Granada,1 - 1,Atlético,Empató,1,1,0
2019-11-10,Atlético,3 - 1,Espanyol,Ganó,3,1,2
2019-11-02,Sevilla,1 - 1,Atlético,Empató,1,1,0
2019-10-29,Deportivo Alavés,1 - 1,Atlético,Empató,1,1,0
2019-10-26,Atlético,2 - 0,Athletic,Ganó,2,0,2
2019-10-19,Atlético,1 - 1,Valencia,Empató,1,1,0
2019-10-06,Real Valladolid,0 - 0,Atlético,Empató,0,0,0
2019-09-28,Atlético,0 - 0,Real Madrid,Empató,0,0,0
2019-09-25,Mallorca,0 - 2,Atlético,Ganó,0,2,2
2019-09-21,Atlético,0 - 0,Celta,Empató,0,0,0
2019-09-14,R. Sociedad,2 - 0,Atlético,Perdió,2,0,2
2019-09-01,Atlético,3 - 2,Eibar,Ganó,3,2,1
2019-08-25,Leganés,0 - 1,Atlético,Ganó,0,1,1
2019-08-18,Atlético,1 - 0,Getafe,Ganó,1,0,1
2019-05-18,Levante,2 - 2,Atlético,Empató,2,2,0
2019-05-12,Atlético,1 - 1,Sevilla,Empató,1,1,0
2019-05-04,Espanyol,3 - 0,Atlético,Perdió,3,0,3
2019-04-27,Atlético,1 - 0,Real Valladolid,Ganó,1,0,1
2019-04-24,Atlético,3 - 2,Valencia,Ganó,3,2,1
2019-04-20,Eibar,0 - 1,Atlético,Ganó,0,1,1
2019-04-13,Atlético,2 - 0,Celta,Ganó,2,0,2
2019-04-06,Barcelona,2 - 0,Atlético,Perdió,2,0,2
2019-04-02,Atlético,2 - 0,Girona,Ganó,2,0,2
2019-03-30,Deportivo Alavés,0 - 4,Atlético,Ganó,0,4,4
2019-03-16,Athletic,2 - 0,Atlético,Perdió,2,0,2
2019-03-09,Atlético,1 - 0,Leganés,Ganó,1,0,1
2019-03-03,R. Sociedad,0 - 2,Atlético,Ganó,0,2,2
2019-02-24,Atlético,2 - 0,Villarreal,Ganó,2,0,2
2019-02-16,Rayo Vallecano,0 - 1,Atlético,Ganó,0,1,1
2019-02-09,Atlético,1 - 3,Real Madrid,Perdió,1,3,2
2019-02-03,Real Betis,1 - 0,Atlético,Perdió,1,0,1
2019-01-26,Atlético,2 - 0,Getafe,Ganó,2,0,2
2019-01-19,Huesca,0 - 3,Atlético,Ganó,0,3,3
2019-01-13,Atlético,1 - 0,Levante,Ganó,1,0,1
2019-01-06,Sevilla,1 - 1,Atlético,Empató,1,1,0
2018-12-22,Atlético,1 - 0,Espanyol,Ganó,1,0,1
2018-12-15,Real Valladolid,2 - 3,Atlético,Ganó,2,3,1
2018-12-08,Atlético,3 - 0,Deportivo Alavés,Ganó,3,0,3
2018-12-02,Girona,1 - 1,Atlético,Empató,1,1,0
2018-11-24,Atlético,1 - 1,Barcelona,Empató,1,1,0
2018-11-10,Atlético,3 - 2,Athletic,Ganó,3,2,1
2018-11-03,Leganés,1 - 1,Atlético,Empató,1,1,0
2018-10-27,Atlético,2 - 0,R. Sociedad,Ganó,2,0,2
2018-10-20,Villarreal,1 - 1,Atlético,Empató,1,1,0
2018-10-07,Atlético,1 - 0,Real Betis,Ganó,1,0,1
2018-09-29,Real Madrid,0 - 0,Atlético,Empató,0,0,0
2018-09-25,Atlético,3 - 0,Huesca,Ganó,3,0,3
2018-09-22,Getafe,0 - 2,Atlético,Ganó,0,2,2
2018-09-15,Atlético,1 - 1,Eibar,Empató,1,1,0
2018-09-01,Celta,2 - 0,Atlético,Perdió,2,0,2
2018-08-25,Atlético,1 - 0,Rayo Vallecano,Ganó,1,0,1
2018-08-20,Valencia,1 - 1,Atlético,Empató,1,1,0
2018-05-20,Atlético,2 - 2,Eibar,Empató,2,2,0
2018-05-12,Getafe,0 - 1,Atlético,Ganó,0,1,1
2018-05-06,Atlético,0 - 2,Espanyol,Perdió,0,2,2
2018-04-29,Deportivo Alavés,0 - 1,Atlético,Ganó,0,1,1
2018-04-22,Atlético,0 - 0,Real Betis,Empató,0,0,0
2018-04-19,R. Sociedad,3 - 0,Atlético,Perdió,3,0,3
2018-04-15,Atlético,3 - 0,Levante,Ganó,3,0,3
2018-04-08,Real Madrid,1 - 1,Atlético,Empató,1,1,0
2018-04-01,Atlético,1 - 0,RC Deportivo,Ganó,1,0,1
2018-03-18,Villarreal,2 - 1,Atlético,Perdió,2,1,1
2018-03-11,Atlético,3 - 0,Celta,Ganó,3,0,3
2018-03-04,Barcelona,1 - 0,Atlético,Perdió,1,0,1
2018-02-28,Atlético,4 - 0,Leganés,Ganó,4,0,4
2018-02-25,Sevilla,2 - 5,Atlético,Ganó,2,5,3
2018-02-18,Atlético,2 - 0,Athletic,Ganó,2,0,2
2018-02-10,Málaga,0 - 1,Atlético,Ganó,0,1,1
2018-02-04,Atlético,1 - 0,Valencia,Ganó,1,0,1
2018-01-28,Atlético,3 - 0,Las Palmas,Ganó,3,0,3
2018-01-20,Atlético,1 - 1,Girona,Empató,1,1,0
2018-01-13,Eibar,0 - 1,Atlético,Ganó,0,1,1
2018-01-06,Atlético,2 - 0,Getafe,Ganó,2,0,2
2017-12-22,Espanyol,1 - 0,Atlético,Perdió,1,0,1
2017-12-16,Atlético,1 - 0,Deportivo Alavés,Ganó,1,0,1
2017-12-10,Real Betis,0 - 1,Atlético,Ganó,0,1,1
2017-12-02,Atlético,2 - 1,R. Sociedad,Ganó,2,1,1
2017-11-25,Levante,0 - 5,Atlético,Ganó,0,5,5
2017-11-18,Atlético,0 - 0,Real Madrid,Empató,0,0,0
2017-11-04,RC Deportivo,0 - 1,Atlético,Ganó,0,1,1
2017-10-28,Atlético,1 - 1,Villarreal,Empató,1,1,0
2017-10-22,Celta,0 - 1,Atlético,Ganó,0,1,1
2017-10-14,Atlético,1 - 1,Barcelona,Empató,1,1,0
2017-09-30,Leganés,0 - 0,Atlético,Empató,0,0,0
2017-09-23,Atlético,2 - 0,Sevilla,Ganó,2,0,2
2017-09-20,Athletic,1 - 2,Atlético,Ganó,1,2,1
2017-09-16,Atlético,1 - 0,Málaga,Ganó,1,0,1
2017-09-09,Valencia,0 - 0,Atlético,Empató,0,0,0
2017-08-26,Las Palmas,1 - 5,Atlético,Ganó,1,5,4
2017-08-19,Girona,2 - 2,Atlético,Empató,2,2,0
2017-05-21,Atlético,3 - 1,Athletic,Ganó,3,1,2
2017-05-14,Real Betis,1 - 1,Atlético,Empató,1,1,0
2017-05-06,Atlético,1 - 0,Eibar,Ganó,1,0,1
2017-04-29,Las Palmas,0 - 5,Atlético,Ganó,0,5,5
2017-04-25,Atlético,0 - 1,Villarreal,Perdió,0,1,1
2017-04-22,Espanyol,0 - 1,Atlético,Ganó,0,1,1
2017-04-15,Atlético,3 - 0,Osasuna,Ganó,3,0,3
2017-04-08,Real Madrid,1 - 1,Atlético,Empató,1,1,0
2017-04-04,Atlético,1 - 0,R. Sociedad,Ganó,1,0,1
2017-04-01,Málaga,0 - 2,Atlético,Ganó,0,2,2
