Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2022-05-20,Real Madrid,0 - 0,Real Betis,Empató,0,0,0
2022-05-15,Cádiz,1 - 1,Real Madrid,Empató,1,1,0
2022-05-12,Real Madrid,6 - 0,Levante,Ganó,6,0,6
2022-05-08,Atlético,1 - 0,Real Madrid,Perdió,1,0,1
2022-04-30,Real Madrid,4 - 0,Espanyol,Ganó,4,0,4
2022-04-20,Osasuna,1 - 3,Real Madrid,Ganó,1,3,2
2022-04-17,Sevilla,2 - 3,Real Madrid,Ganó,2,3,1
2022-04-09,Real Madrid,2 - 0,Getafe,Ganó,2,0,2
2022-04-02,Celta,1 - 2,Real Madrid,Ganó,1,2,1
2022-03-20,Real Madrid,0 - 4,Barcelona,Perdió,0,4,4
2022-03-14,Mallorca,0 - 3,Real Madrid,Ganó,0,3,3
2022-03-05,Real Madrid,4 - 1,R. Sociedad,Ganó,4,1,3
2022-02-26,Rayo Vallecano,0 - 1,Real Madrid,Ganó,0,1,1
2022-02-19,Real Madrid,3 - 0,Deportivo Alavés,Ganó,3,0,3
2022-02-12,Villarreal,0 - 0,Real Madrid,Empató,0,0,0
2022-02-06,Real Madrid,1 - 0,Granada,Ganó,1,0,1
2022-01-23,Real Madrid,2 - 2,Elche,Empató,2,2,0
2022-01-08,Real Madrid,4 - 1,Valencia,Ganó,4,1,3
2022-01-02,Getafe,1 - 0,Real Madrid,Perdió,1,0,1
2021-12-22,Athletic,1 - 2,Real Madrid,Ganó,1,2,1
2021-12-19,Real Madrid,0 - 0,Cádiz,Empató,0,0,0
2021-12-12,Real Madrid,2 - 0,Atlético,Ganó,2,0,2
2021-12-04,R. Sociedad,0 - 2,Real Madrid,Ganó,0,2,2
2021-12-01,Real Madrid,1 - 0,Athletic,Ganó,1,0,1
2021-11-28,Real Madrid,2 - 1,Sevilla,Ganó,2,1,1
2021-11-21,Granada,1 - 4,Real Madrid,Ganó,1,4,3
2021-11-06,Real Madrid,2 - 1,Rayo Vallecano,Ganó,2,1,1
2021-10-30,Elche,1 - 2,Real Madrid,Ganó,1,2,1
2021-10-27,Real Madrid,0 - 0,Osasuna,Empató,0,0,0
2021-10-24,Barcelona,1 - 2,Real Madrid,Ganó,1,2,1
2021-10-03,Espanyol,2 - 1,Real Madrid,Perdió,2,1,1
2021-09-25,Real Madrid,0 - 0,Villarreal,Empató,0,0,0
2021-09-22,Real Madrid,6 - 1,Mallorca,Ganó,6,1,5
2021-09-19,Valencia,1 - 2,Real Madrid,Ganó,1,2,1
2021-09-12,Real Madrid,5 - 2,Celta,Ganó,5,2,3
2021-08-28,Real Betis,0 - 1,Real Madrid,Ganó,0,1,1
2021-08-22,Levante,3 - 3,Real Madrid,Empató,3,3,0
2021-08-14,Deportivo Alavés,1 - 4,Real Madrid,Ganó,1,4,3
2021-05-22,Real Madrid,2 - 1,Villarreal,Ganó,2,1,1
2021-05-16,Athletic,0 - 1,Real Madrid,Ganó,0,1,1
2021-05-13,Granada,1 - 4,Real Madrid,Ganó,1,4,3
2021-05-09,Real Madrid,2 - 2,Sevilla,Empató,2,2,0
2021-05-01,Real Madrid,2 - 0,Osasuna,Ganó,2,0,2
2021-04-24,Real Madrid,0 - 0,Real Betis,Empató,0,0,0
2021-04-21,Cádiz,0 - 3,Real Madrid,Ganó,0,3,3
2021-04-18,Getafe,0 - 0,Real Madrid,Empató,0,0,0
2021-04-10,Real Madrid,2 - 1,Barcelona,Ganó,2,1,1
2021-04-03,Real Madrid,2 - 0,Eibar,Ganó,2,0,2
2021-03-20,Celta,1 - 3,Real Madrid,Ganó,1,3,2
2021-03-13,Real Madrid,2 - 1,Elche,Ganó,2,1,1
2021-03-07,Atlético,1 - 1,Real Madrid,Empató,1,1,0
2021-03-01,Real Madrid,1 - 1,R. Sociedad,Empató,1,1,0
2021-02-20,Real Valladolid,0 - 1,Real Madrid,Ganó,0,1,1
2021-02-14,Real Madrid,2 - 0,Valencia,Ganó,2,0,2
2021-02-09,Real Madrid,2 - 0,Getafe,Ganó,2,0,2
2021-02-06,Huesca,1 - 2,Real Madrid,Ganó,1,2,1
2021-01-30,Real Madrid,1 - 2,Levante,Perdió,1,2,1
2021-01-23,Deportivo Alavés,1 - 4,Real Madrid,Ganó,1,4,3
2021-01-09,Osasuna,0 - 0,Real Madrid,Empató,0,0,0
2021-01-02,Real Madrid,2 - 0,Celta,Ganó,2,0,2
2020-12-30,Elche,1 - 1,Real Madrid,Empató,1,1,0
2020-12-23,Real Madrid,2 - 0,Granada,Ganó,2,0,2
2020-12-20,Eibar,1 - 3,Real Madrid,Ganó,1,3,2
2020-12-15,Real Madrid,3 - 1,Athletic,Ganó,3,1,2
2020-12-12,Real Madrid,2 - 0,Atlético,Ganó,2,0,2
2020-12-05,Sevilla,0 - 1,Real Madrid,Ganó,0,1,1
2020-11-28,Real Madrid,1 - 2,Deportivo Alavés,Perdió,1,2,1
2020-11-21,Villarreal,1 - 1,Real Madrid,Empató,1,1,0
2020-11-08,Valencia,4 - 1,Real Madrid,Perdió,4,1,3
2020-10-31,Real Madrid,4 - 1,Huesca,Ganó,4,1,3
2020-10-24,Barcelona,1 - 3,Real Madrid,Ganó,1,3,2
2020-10-17,Real Madrid,0 - 1,Cádiz,Perdió,0,1,1
2020-10-04,Levante,0 - 2,Real Madrid,Ganó,0,2,2
2020-09-30,Real Madrid,1 - 0,Real Valladolid,Ganó,1,0,1
2020-09-26,Real Betis,2 - 3,Real Madrid,Ganó,2,3,1
2020-09-20,R. Sociedad,0 - 0,Real Madrid,Empató,0,0,0
2020-07-19,Leganés,2 - 2,Real Madrid,Empató,2,2,0
2020-07-16,Real Madrid,2 - 1,Villarreal,Ganó,2,1,1
2020-07-13,Granada,1 - 2,Real Madrid,Ganó,1,2,1
2020-07-10,Real Madrid,2 - 0,Deportivo Alavés,Ganó,2,0,2
2020-07-05,Athletic,0 - 1,Real Madrid,Ganó,0,1,1
2020-07-02,Real Madrid,1 - 0,Getafe,Ganó,1,0,1
2020-06-28,Espanyol,0 - 1,Real Madrid,Ganó,0,1,1
