Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2022-05-21,Valencia,2 - 0,Celta,Ganó,2,0,2
2022-05-14,Espanyol,1 - 1,Valencia,Empató,1,1,0
2022-05-10,Valencia,0 - 3,Real Betis,Perdió,0,3,3
2022-05-07,Athletic,0 - 0,Valencia,Empató,0,0,0
2022-04-30,Valencia,1 - 1,Levante,Empató,1,1,0
2022-04-19,Villarreal,2 - 0,Valencia,Perdió,2,0,2
2022-04-16,Valencia,1 - 2,Osasuna,Perdió,1,2,1
2022-04-11,Rayo Vallecano,1 - 1,Valencia,Empató,1,1,0
2022-04-03,Valencia,0 - 0,Cádiz,Empató,0,0,0
2022-03-19,Elche,0 - 1,Valencia,Ganó,0,1,1
2022-03-12,Getafe,0 - 0,Valencia,Empató,0,0,0
2022-03-05,Valencia,3 - 1,Granada,Ganó,3,1,2
2022-02-26,Mallorca,0 - 1,Valencia,Ganó,0,1,1
2022-02-20,Valencia,1 - 4,Barcelona,Perdió,1,4,3
2022-02-13,Deportivo Alavés,2 - 1,Valencia,Perdió,2,1,1
2022-02-06,Valencia,0 - 0,R. Sociedad,Empató,0,0,0
2022-01-22,Atlético,3 - 2,Valencia,Perdió,3,2,1
2022-01-19,Valencia,1 - 1,Sevilla,Empató,1,1,0
2022-01-08,Real Madrid,4 - 1,Valencia,Perdió,4,1,3
2021-12-31,Valencia,1 - 2,Espanyol,Perdió,1,2,1
2021-12-20,Levante,3 - 4,Valencia,Ganó,3,4,1
2021-12-11,Valencia,2 - 1,Elche,Ganó,2,1,1
2021-12-05,Celta,1 - 2,Valencia,Ganó,1,2,1
2021-11-27,Valencia,1 - 1,Rayo Vallecano,Empató,1,1,0
2021-11-21,R. Sociedad,0 - 0,Valencia,Empató,0,0,0
2021-11-07,Valencia,3 - 3,Atlético,Empató,3,3,0
2021-10-30,Valencia,2 - 0,Villarreal,Ganó,2,0,2
2021-10-27,Real Betis,4 - 1,Valencia,Perdió,4,1,3
2021-10-23,Valencia,2 - 2,Mallorca,Empató,2,2,0
2021-10-17,Barcelona,3 - 1,Valencia,Perdió,3,1,2
2021-10-02,Cádiz,0 - 0,Valencia,Empató,0,0,0
2021-09-25,Valencia,1 - 1,Athletic,Empató,1,1,0
2021-09-22,Sevilla,3 - 1,Valencia,Perdió,3,1,2
2021-09-19,Valencia,1 - 2,Real Madrid,Perdió,1,2,1
2021-09-12,Osasuna,1 - 4,Valencia,Ganó,1,4,3
2021-08-27,Valencia,3 - 0,Deportivo Alavés,Ganó,3,0,3
2021-08-21,Granada,1 - 1,Valencia,Empató,1,1,0
2021-08-13,Valencia,1 - 0,Getafe,Ganó,1,0,1
2021-05-22,Huesca,0 - 0,Valencia,Empató,0,0,0
2021-05-16,Valencia,4 - 1,Eibar,Ganó,4,1,3
2021-05-12,Sevilla,1 - 0,Valencia,Perdió,1,0,1
2021-05-09,Valencia,3 - 0,Real Valladolid,Ganó,3,0,3
2021-05-02,Valencia,2 - 3,Barcelona,Perdió,2,3,1
2021-04-24,Valencia,1 - 1,Deportivo Alavés,Empató,1,1,0
2021-04-21,Osasuna,3 - 1,Valencia,Perdió,3,1,2
2021-04-18,Real Betis,2 - 2,Valencia,Empató,2,2,0
2021-04-11,Valencia,2 - 2,R. Sociedad,Empató,2,2,0
2021-04-04,Cádiz,2 - 1,Valencia,Perdió,2,1,1
2021-03-21,Valencia,2 - 1,Granada,Ganó,2,1,1
2021-03-12,Levante,1 - 0,Valencia,Perdió,1,0,1
2021-03-05,Valencia,2 - 1,Villarreal,Ganó,2,1,1
2021-02-27,Getafe,3 - 0,Valencia,Perdió,3,0,3
2021-02-20,Valencia,2 - 0,Celta,Ganó,2,0,2
2021-02-14,Real Madrid,2 - 0,Valencia,Perdió,2,0,2
2021-02-07,Athletic,1 - 1,Valencia,Empató,1,1,0
2021-01-30,Valencia,1 - 0,Elche,Ganó,1,0,1
2021-01-24,Atlético,3 - 1,Valencia,Perdió,3,1,2
2021-01-21,Valencia,1 - 1,Osasuna,Empató,1,1,0
2021-01-10,Real Valladolid,0 - 1,Valencia,Ganó,0,1,1
2021-01-04,Valencia,1 - 1,Cádiz,Empató,1,1,0
2020-12-30,Granada,2 - 1,Valencia,Perdió,2,1,1
2020-12-22,Valencia,0 - 1,Sevilla,Perdió,0,1,1
2020-12-19,Barcelona,2 - 2,Valencia,Empató,2,2,0
2020-12-12,Valencia,2 - 2,Athletic,Empató,2,2,0
