Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2022-05-22,Barcelona,0 - 2,Villarreal,Perdió,0,2,2
2022-05-15,Getafe,0 - 0,Barcelona,Empató,0,0,0
2022-05-10,Barcelona,3 - 1,Celta,Ganó,3,1,2
2022-05-07,Real Betis,1 - 2,Barcelona,Ganó,1,2,1
2022-05-01,Barcelona,2 - 1,Mallorca,Ganó,2,1,1
2022-04-24,Barcelona,0 - 1,Rayo Vallecano,Perdió,0,1,1
2022-04-21,R. Sociedad,0 - 1,Barcelona,Ganó,0,1,1
2022-04-18,Barcelona,0 - 1,Cádiz,Perdió,0,1,1
2022-04-10,Levante,2 - 3,Barcelona,Ganó,2,3,1
2022-04-03,Barcelona,1 - 0,Sevilla,Ganó,1,0,1
2022-03-20,Real Madrid,0 - 4,Barcelona,Ganó,0,4,4
2022-03-13,Barcelona,4 - 0,Osasuna,Ganó,4,0,4
2022-03-06,Elche,1 - 2,Barcelona,Ganó,1,2,1
2022-02-27,Barcelona,4 - 0,Athletic,Ganó,4,0,4
2022-02-20,Valencia,1 - 4,Barcelona,Ganó,1,4,3
2022-02-13,Espanyol,2 - 2,Barcelona,Empató,2,2,0
2022-02-06,Barcelona,4 - 2,Atlético,Ganó,4,2,2
2022-01-23,Deportivo Alavés,0 - 1,Barcelona,Ganó,0,1,1
2022-01-08,Granada,1 - 1,Barcelona,Empató,1,1,0
2022-01-02,Mallorca,0 - 1,Barcelona,Ganó,0,1,1
2021-12-21,Sevilla,1 - 1,Barcelona,Empató,1,1,0
2021-12-18,Barcelona,3 - 2,Elche,Ganó,3,2,1
2021-12-12,Osasuna,2 - 2,Barcelona,Empató,2,2,0
2021-12-04,Barcelona,0 - 1,Real Betis,Perdió,0,1,1
2021-11-27,Villarreal,1 - 3,Barcelona,Ganó,1,3,2
2021-11-20,Barcelona,1 - 0,Espanyol,Ganó,1,0,1
2021-11-06,Celta,3 - 3,Barcelona,Empató,3,3,0
2021-10-30,Barcelona,1 - 1,Deportivo Alavés,Empató,1,1,0
2021-10-27,Rayo Vallecano,1 - 0,Barcelona,Perdió,1,0,1
2021-10-24,Barcelona,1 - 2,Real Madrid,Perdió,1,2,1
2021-10-17,Barcelona,3 - 1,Valencia,Ganó,3,1,2
2021-10-02,Atlético,2 - 0,Barcelona,Perdió,2,0,2
2021-09-26,Barcelona,3 - 0,Levante,Ganó,3,0,3
2021-09-23,Cádiz,0 - 0,Barcelona,Empató,0,0,0
2021-09-20,Barcelona,1 - 1,Granada,Empató,1,1,0
2021-08-29,Barcelona,2 - 1,Getafe,Ganó,2,1,1
