Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2022-05-22,Sevilla,1 - 0,Athletic,Perdió,1,0,1
2022-05-15,Athletic,2 - 0,Osasuna,Ganó,2,0,2
2022-05-10,Granada,1 - 0,Athletic,Perdió,1,0,1
2022-05-07,Athletic,0 - 0,Valencia,Empató,0,0,0
2022-04-30,Athletic,2 - 0,Atlético,Ganó,2,0,2
2022-04-21,Cádiz,2 - 3,Athletic,Ganó,2,3,1
2022-04-17,Athletic,0 - 2,Celta,Perdió,0,2,2
2022-04-09,Villarreal,1 - 1,Athletic,Empató,1,1,0
2022-04-03,Athletic,2 - 1,Elche,Ganó,2,1,1
2022-03-18,Athletic,1 - 1,Getafe,Empató,1,1,0
2022-03-13,Real Betis,1 - 0,Athletic,Perdió,1,0,1
2022-03-07,Athletic,3 - 1,Levante,Ganó,3,1,2
2022-02-27,Barcelona,4 - 0,Athletic,Perdió,4,0,4
2022-02-20,Athletic,4 - 0,R. Sociedad,Ganó,4,0,4
2022-02-14,Mallorca,3 - 2,Athletic,Perdió,3,2,1
2022-02-07,Athletic,2 - 1,Espanyol,Ganó,2,1,1
2022-01-23,Rayo Vallecano,0 - 1,Athletic,Ganó,0,1,1
2022-01-09,Deportivo Alavés,0 - 0,Athletic,Empató,0,0,0
2022-01-03,Osasuna,1 - 3,Athletic,Ganó,1,3,2
2021-12-22,Athletic,1 - 2,Real Madrid,Perdió,1,2,1
2021-12-19,Athletic,3 - 2,Real Betis,Ganó,3,2,1
2021-12-11,Athletic,0 - 1,Sevilla,Perdió,0,1,1
2021-12-06,Getafe,0 - 0,Athletic,Empató,0,0,0
2021-12-01,Real Madrid,1 - 0,Athletic,Perdió,1,0,1
2021-11-26,Athletic,2 - 2,Granada,Empató,2,2,0
2021-11-19,Levante,0 - 0,Athletic,Empató,0,0,0
2021-11-05,Athletic,0 - 1,Cádiz,Perdió,0,1,1
2021-10-31,R. Sociedad,1 - 1,Athletic,Empató,1,1,0
2021-10-26,Espanyol,1 - 1,Athletic,Empató,1,1,0
2021-10-23,Athletic,2 - 1,Villarreal,Ganó,2,1,1
2021-10-01,Athletic,1 - 0,Deportivo Alavés,Ganó,1,0,1
2021-09-25,Valencia,1 - 1,Athletic,Empató,1,1,0
2021-09-21,Athletic,1 - 2,Rayo Vallecano,Perdió,1,2,1
2021-09-18,Atlético,0 - 0,Athletic,Empató,0,0,0
2021-09-11,Athletic,2 - 0,Mallorca,Ganó,2,0,2
2021-08-28,Celta,0 - 1,Athletic,Ganó,0,1,1
2021-08-21,Athletic,1 - 1,Barcelona,Empató,1,1,0
2021-08-16,Elche,0 - 0,Athletic,Empató,0,0,0
2021-05-22,Elche,2 - 0,Athletic,Perdió,2,0,2
2021-05-16,Athletic,0 - 1,Real Madrid,Perdió,0,1,1
2021-05-12,Huesca,1 - 0,Athletic,Perdió,1,0,1
2021-05-08,Athletic,2 - 2,Osasuna,Empató,2,2,0
2021-05-03,Sevilla,0 - 1,Athletic,Ganó,0,1,1
2021-04-28,Athletic,2 - 2,Real Valladolid,Empató,2,2,0
2021-04-25,Athletic,2 - 1,Atlético,Ganó,2,1,1
2021-04-21,Real Betis,0 - 0,Athletic,Empató,0,0,0
2021-04-10,Athletic,0 - 0,Deportivo Alavés,Empató,0,0,0
2021-04-07,R. Sociedad,1 - 1,Athletic,Empató,1,1,0
2021-03-20,Athletic,1 - 1,Eibar,Empató,1,1,0
2021-03-14,Celta,0 - 0,Athletic,Empató,0,0,0
2021-03-10,Atlético,2 - 1,Athletic,Perdió,2,1,1
2021-03-07,Athletic,2 - 1,Granada,Ganó,2,1,1
2021-02-26,Levante,1 - 1,Athletic,Empató,1,1,0
2021-02-21,Athletic,1 - 1,Villarreal,Empató,1,1,0
2021-02-15,Cádiz,0 - 4,Athletic,Ganó,0,4,4
2021-02-07,Athletic,1 - 1,Valencia,Empató,1,1,0
2021-01-31,Barcelona,2 - 1,Athletic,Perdió,2,1,1
2021-01-25,Athletic,5 - 1,Getafe,Ganó,5,1,4
2021-01-06,Athletic,2 - 3,Barcelona,Perdió,2,3,1
2021-01-03,Athletic,1 - 0,Elche,Ganó,1,0,1
2020-12-31,Athletic,0 - 1,R. Sociedad,Perdió,0,1,1
2020-12-22,Villarreal,1 - 1,Athletic,Empató,1,1,0
2020-12-18,Athletic,2 - 0,Huesca,Ganó,2,0,2
2020-12-15,Real Madrid,3 - 1,Athletic,Perdió,3,1,2
2020-12-12,Valencia,2 - 2,Athletic,Empató,2,2,0
2020-12-04,Athletic,0 - 2,Celta,Perdió,0,2,2
2020-11-29,Getafe,1 - 1,Athletic,Empató,1,1,0
2020-11-23,Athletic,4 - 0,Real Betis,Ganó,4,0,4
2020-11-08,Real Valladolid,2 - 1,Athletic,Perdió,2,1,1
2020-10-31,Athletic,2 - 1,Sevilla,Ganó,2,1,1
2020-10-24,Osasuna,1 - 0,Athletic,Perdió,1,0,1
2020-10-18,Athletic,2 - 0,Levante,Ganó,2,0,2
2020-10-04,Deportivo Alavés,1 - 0,Athletic,Perdió,1,0,1
2020-10-01,Athletic,0 - 1,Cádiz,Perdió,0,1,1
2020-09-27,Eibar,1 - 2,Athletic,Ganó,1,2,1
2020-09-12,Granada,2 - 0,Athletic,Perdió,2,0,2
2020-07-19,Granada,4 - 0,Athletic,Perdió,4,0,4
2020-07-16,Athletic,0 - 2,Leganés,Perdió,0,2,2
2020-07-12,Levante,1 - 2,Athletic,Ganó,1,2,1
2020-07-09,Athletic,1 - 2,Sevilla,Perdió,1,2,1
2020-07-05,Athletic,0 - 1,Real Madrid,Perdió,0,1,1
2020-07-01,Valencia,0 - 2,Athletic,Ganó,0,2,2
2020-06-27,Athletic,3 - 1,Mallorca,Ganó,3,1,2
2020-06-23,Barcelona,1 - 0,Athletic,Perdió,1,0,1
2020-06-20,Athletic,1 - 0,Real Betis,Ganó,1,0,1
2020-06-17,Eibar,2 - 2,Athletic,Empató,2,2,0
2020-06-14,Athletic,1 - 1,Atlético,Empató,1,1,0
2020-03-08,Real Valladolid,1 - 4,Athletic,Ganó,1,4,3
2020-03-01,Athletic,1 - 0,Villarreal,Ganó,1,0,1
2020-02-23,Deportivo Alavés,2 - 1,Athletic,Perdió,2,1,1
2020-02-16,Athletic,0 - 1,Osasuna,Perdió,0,1,1
2020-02-09,R. Sociedad,2 - 1,Athletic,Perdió,2,1,1
